name,glon,glat,ra,dec,nband,flux1,flux2,flux3,flux4,flux5,flux6,flux7,flux_err1,flux_err2,flux_err3,flux_err4,flux_err5,flux_err6,flux_err7,ercsc_name,note
PLCKERC G222.51+00.78,222.512848,0.786684,107.965935,-8.155236,1,null,null,null,null,null,null,3179.444,null,null,null,null,null,null,608.559,null,0
PLCKERC G222.55+53.98,222.553299,53.988621,155.696503,16.343098,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.57+04.05,222.575485,4.050725,110.908295,-6.690519,2,null,null,null,null,null,null,1362.609,null,null,null,null,null,null,119.589,null,0
PLCKERC G222.58-03.53,222.589661,-3.532514,104.112099,-10.201943,2,null,null,null,null,null,1363.897,4403.368,null,null,null,null,null,162.855,449.993,PLCKERC545 G035.07+25.49,0
PLCKERC G222.59-01.59,222.599823,-1.594725,105.867340,-9.328468,5,null,null,null,null,876.001,4130.650,14953.065,null,null,null,null,97.527,311.364,1277.540,PLCKERC857 G035.08+25.47,0
PLCKERC G222.60-16.18,222.606216,-16.183529,92.418045,-15.707293,6,3834.986,2698.719,2420.269,2047.626,1662.850,1226.931,null,68.818,137.402,139.360,66.001,40.301,54.264,null,null,0
PLCKERC G222.60+13.66,222.606262,13.669209,119.416916,-2.153012,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.63+31.23,222.639801,31.234335,134.888489,6.207186,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.64-06.00,222.641815,-6.006823,101.886345,-11.361472,2,null,null,null,null,null,858.917,3328.186,null,null,null,null,null,94.209,320.586,null,0
PLCKERC G222.64+18.73,222.648849,18.739998,123.886894,0.243304,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.66-10.56,222.665985,-10.567313,97.703369,-13.388116,1,null,null,null,null,286.094,null,null,null,null,null,null,48.707,null,null,null,0
PLCKERC G222.73-22.63,222.737762,-22.639845,86.271416,-18.386112,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.74-05.85,222.749451,-5.856966,102.071892,-11.390313,1,null,null,null,null,null,820.306,null,null,null,null,null,null,110.943,null,PLCKERC545 G035.08+35.49,0
PLCKERC G222.76+56.93,222.761810,56.939766,158.573074,17.413851,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.77-00.36,222.777313,-0.363858,107.057335,-8.920962,4,null,null,null,null,null,2210.784,5724.565,null,null,null,null,null,315.007,1117.471,null,0
PLCKERC G222.80+24.20,222.804672,24.204115,128.752594,2.737772,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.83-15.18,222.830460,-15.180311,93.459137,-15.489214,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G222.83-28.31,222.838745,-28.311485,80.710274,-20.552195,3,null,null,null,null,null,null,583.667,null,null,null,null,null,null,86.252,null,0
PLCKERC G222.83+07.40,222.839752,7.407390,114.009773,-5.340223,4,null,null,null,null,null,436.539,1374.120,null,null,null,null,null,58.815,163.625,null,0
PLCKERC G222.86-00.39,222.866669,-0.390809,107.074783,-9.012691,1,null,null,null,1330.695,null,null,null,null,null,null,87.805,null,null,null,null,0
PLCKERC G222.89+00.96,222.890182,0.962744,108.300179,-8.408108,4,null,null,null,null,null,1655.201,5783.553,null,null,null,null,null,129.514,439.649,null,0
PLCKERC G222.96-05.45,222.961365,-5.456447,102.533546,-11.399690,2,null,null,null,null,null,1273.661,4424.510,null,null,null,null,null,121.837,439.921,PLCKERC545 G035.10-40.60,0
PLCKERC G222.96-00.40,222.964203,-0.401744,107.110443,-9.104289,2,null,null,null,null,null,2150.170,6431.173,null,null,null,null,null,331.034,1140.626,PLCKERC857 G035.10-40.61,0
PLCKERC G223.03-17.50,223.036591,-17.505968,91.336197,-16.623190,3,null,null,null,null,null,444.830,1006.035,null,null,null,null,null,54.631,175.002,null,0
PLCKERC G210.68-03.13,210.685944,-3.134451,99.045914,0.566849,2,null,null,null,null,null,1511.529,4771.896,null,null,null,null,null,164.902,526.051,null,0
PLCKERC G210.69+54.43,210.690872,54.430035,153.693497,23.025698,4,809.550,null,null,521.161,334.470,301.747,null,60.901,null,null,68.135,39.726,31.809,null,null,0
PLCKERC G210.69-33.31,210.697128,-33.315689,71.761040,-12.794134,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.69-68.46,210.697342,-68.461838,36.592796,-24.293081,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC100 G032.79+00.18,0
PLCKERC G210.71+63.06,210.710571,63.067104,162.907379,24.970501,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC143 G032.79+00.18,0
PLCKERC G210.72-35.93,210.723557,-35.937237,69.307571,-13.877651,4,null,null,null,null,null,517.348,1608.203,null,null,null,null,null,84.711,183.309,null,0
PLCKERC G210.77-19.83,210.770020,-19.836811,84.158333,-7.074125,3,null,null,null,null,null,4850.599,20778.549,null,null,null,null,null,794.930,3169.218,null,0
PLCKERC G210.77-71.13,210.771790,-71.134979,33.723515,-24.875189,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.77+23.20,210.778259,23.201443,122.891220,12.144752,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.78-02.55,210.788391,-2.557508,99.605850,0.739601,4,null,null,null,null,535.600,1714.923,5281.779,null,null,null,null,83.629,202.412,733.812,null,0
PLCKERC G210.81-44.90,210.817673,-44.901970,60.733738,-17.374771,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.82+31.28,210.820496,31.280128,130.525467,15.353910,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.88+45.50,210.882278,45.507572,144.533646,20.339384,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.88+61.18,210.882355,61.181503,160.892075,24.510105,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.88-36.56,210.883362,-36.561523,68.770554,-14.245042,6,null,null,null,1107.500,1210.831,3203.681,14055.487,null,null,null,82.786,93.516,290.401,1235.835,null,0
PLCKERC G210.89+28.25,210.893051,28.252798,127.672173,14.107215,3,null,null,null,null,null,null,474.456,null,null,null,null,null,null,81.306,PLCKERC353 G032.80-18.36,0
PLCKERC G210.90+63.37,210.902054,63.371204,163.254883,24.944891,3,null,null,null,null,null,null,1120.838,null,null,null,null,null,null,136.046,null,0
PLCKERC G210.91+46.30,210.914215,46.307316,145.351379,20.569746,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G210.92-03.22,210.925781,-3.222917,99.076698,0.313430,1,null,null,null,null,null,1500.606,null,null,null,null,null,null,212.264,null,null,0
